-5	NaN
-4.999	NaN
-4.998	NaN
-4.997	NaN
-4.996	NaN
-4.995	NaN
-4.994	NaN
-4.993	NaN
-4.992	NaN
-4.991	NaN
-4.99	NaN
-4.989	NaN
-4.988	NaN
-4.987	NaN
-4.986	NaN
-4.985	NaN
-4.984	NaN
-4.983	NaN
-4.982	NaN
-4.981	NaN
-4.98	NaN
-4.979	NaN
-4.978	NaN
-4.977	NaN
-4.976	NaN
-4.975	NaN
-4.974	NaN
-4.973	NaN
-4.972	NaN
-4.971	NaN
-4.97	NaN
-4.969	NaN
-4.968	NaN
-4.967	NaN
-4.966	NaN
-4.965	NaN
-4.964	NaN
-4.963	NaN
-4.962	NaN
-4.961	NaN
-4.96	NaN
-4.959	NaN
-4.958	NaN
-4.957	NaN
-4.956	NaN
-4.955	NaN
-4.954	NaN
-4.953	NaN
-4.952	NaN
-4.951	NaN
-4.95	NaN
-4.949	NaN
-4.948	NaN
-4.947	NaN
-4.946	NaN
-4.945	NaN
-4.944	NaN
-4.943	NaN
-4.942	NaN
-4.941	NaN
-4.94	NaN
-4.939	NaN
-4.938	NaN
-4.937	NaN
-4.936	NaN
-4.935	NaN
-4.934	NaN
-4.933	NaN
-4.932	NaN
-4.931	NaN
-4.93	NaN
-4.929	NaN
-4.928	NaN
-4.927	NaN
-4.926	NaN
-4.925	NaN
-4.924	NaN
-4.923	NaN
-4.922	NaN
-4.921	NaN
-4.92	NaN
-4.919	NaN
-4.918	NaN
-4.917	NaN
-4.916	NaN
-4.915	NaN
-4.914	NaN
-4.913	NaN
-4.912	NaN
-4.911	NaN
-4.91	NaN
-4.909	NaN
-4.908	NaN
-4.907	NaN
-4.906	NaN
-4.905	NaN
-4.904	NaN
-4.903	NaN
-4.902	NaN
-4.901	NaN
-4.9	NaN
-4.899	NaN
-4.898	NaN
-4.897	NaN
-4.896	NaN
-4.895	NaN
-4.894	NaN
-4.893	NaN
-4.892	NaN
-4.891	NaN
-4.89	NaN
-4.889	NaN
-4.888	NaN
-4.887	NaN
-4.886	NaN
-4.885	NaN
-4.884	NaN
-4.883	NaN
-4.882	NaN
-4.881	NaN
-4.88	NaN
-4.879	NaN
-4.878	NaN
-4.877	NaN
-4.876	NaN
-4.875	NaN
-4.874	NaN
-4.873	NaN
